segment_id,course_id,lecture_id,segment_t_start,segment_t_end,lo_idx,text,verb,cp_reasoning,cognitive_process,lo_id
04-kamen-papier-noznice_full,1,04-kamen-papier-noznice,0.0,462.9,0,"Študent vie vysvetliť princíp elektronickej hry Kameň, papier, nožnice založenej na náhodnom výbere.",vysvetliť,"Študent musí pochopiť a vysvetliť, ako hra funguje na základe náhodného výberu, čo je porozumenie.",2,04-kamen-papier-noznice_full_lo00
04-kamen-papier-noznice_full,1,04-kamen-papier-noznice,0.0,462.9,1,Študent vie vytvoriť premennú na uchovávanie náhodne generovaného čísla v MakeCode.,vytvoriť,"Študent musí samostatne vytvoriť premennú, čo je tvorivá činnosť (CP6).",6,04-kamen-papier-noznice_full_lo01
04-kamen-papier-noznice_full,1,04-kamen-papier-noznice,0.0,462.9,2,Študent vie použiť blok na generovanie náhodného čísla v rozsahu 1 až 3 v prostredí MakeCode.,použiť,"Študent má aplikovať známy blok na konkrétny problém, čo je aplikácia (CP3).",3,04-kamen-papier-noznice_full_lo02
04-kamen-papier-noznice_full,1,04-kamen-papier-noznice,0.0,462.9,4,"Študent vie skonštruovať program, ktorý po potrasení micro:bitu zobrazí náhodne kameň, papier alebo nožnice.",skonštruovať,"Študent má vytvoriť funkčný program podľa zadania, čo je tvorenie (CP6).",3,04-kamen-papier-noznice_full_lo04
04-kamen-papier-noznice_full,1,04-kamen-papier-noznice,0.0,462.9,5,Študent vie použiť príkaz na pozastavenie programu a vymazanie obrazovky po zobrazení symbolu.,použiť,"Študent má aplikovať konkrétne príkazy v správnom poradí, čo je aplikácia (CP3).",3,04-kamen-papier-noznice_full_lo05
04-kamen-papier-noznice_full,1,04-kamen-papier-noznice,0.0,462.9,6,"Študent vie rozpoznať, kedy je potrebné pridať pauzu a vymazanie obrazovky pre správnu funkciu programu.",rozpoznať,"Študent má identifikovať situáciu, kedy je potrebné použiť určité príkazy, čo je zapamätanie (CP1).",1,04-kamen-papier-noznice_full_lo06
04-kamen-papier-noznice_full,1,04-kamen-papier-noznice,0.0,462.9,7,Študent vie navrhnúť rozšírenie programu o počítadlo bodov ovládané tlačidlami A a B.,navrhnúť,"Študent má navrhnúť nové rozšírenie programu, čo je tvorenie (CP6).",6,04-kamen-papier-noznice_full_lo07
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,0,Študent vie vymenovať komponenty potrebné na zostrojenie banánového klavíra s micro:bitom.,vymenovať,"LO vyžaduje iba vybavenie a uvedenie zoznamu komponentov z pamäte, čo je úroveň Zapamätať si (CP1).",1,05-bananovy-klavir_full_lo00
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,1,Študent vie opísať funkciu programovateľných kolíkov micro:bita v projekte banánového klavíra.,opísať,"LO vyžaduje vysvetlenie a popis funkcie kolíkov, čo je úroveň Porozumieť (CP2).",2,05-bananovy-klavir_full_lo01
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,2,"Študent vie vysvetliť, ako uzemňovací kolík GND umožňuje uzavretie elektrického okruhu v klavíri.",vysvetliť,"LO vyžaduje vysvetlenie vzťahu medzi GND a funkciou okruhu, čo je Porozumieť (CP2).",2,05-bananovy-klavir_full_lo02
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,3,Študent vie skonštruovať zapojenie banánového klavíra podľa inštrukcií.,skonštruovať,"LO vyžaduje praktické zostrojenie zapojenia podľa postupu, čo je Aplikovať (CP3).",3,05-bananovy-klavir_full_lo03
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,4,"Študent vie použiť krokosvorkové káble na prepojenie banánov, kolíkov a uzemnenia micro:bita.",použiť,"LO vyžaduje praktické použitie káblov v konkrétnom zapojení, čo je Aplikovať (CP3).",3,05-bananovy-klavir_full_lo04
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,5,"Študent vie opísať princíp fungovania 3,5 mm jack konektora pri pripojení reproduktora k micro:bitu.",opísať,"LO vyžaduje popis rozdelenia a funkcie častí jack konektora, čo je Porozumieť (CP2).",2,05-bananovy-klavir_full_lo05
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,6,"Študent vie skonštruovať program v MakeCode, ktorý prehrá tón pri dotyku banánu pripojeného k micro:bitu.",skonštruovať,"LO vyžaduje vytvorenie programu podľa postupu, čo je Aplikovať (CP3).",3,05-bananovy-klavir_full_lo06
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,7,"Študent vie vysvetliť, prečo sa používa tón stredné C ako základný tón klavíra.",vysvetliť,"LO vyžaduje vysvetlenie dôvodu výberu konkrétneho tónu, čo je Porozumieť (CP2).",2,05-bananovy-klavir_full_lo07
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,8,Študent vie skonštruovať program pre viac banánov s rôznymi tónmi na rôznych kolíkoch micro:bita.,skonštruovať,"LO vyžaduje vytvorenie rozšíreného programu pre viac vstupov, čo je Aplikovať (CP3).",3,05-bananovy-klavir_full_lo08
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,9,"Študent vie vysvetliť, ako bezdrôtová komunikácia medzi dvoma micro:bitmi umožňuje rozšírenie počtu klávesov.",vysvetliť,"LO vyžaduje vysvetlenie princípu komunikácie a jej účelu, čo je Porozumieť (CP2).",2,05-bananovy-klavir_full_lo09
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,10,Študent vie použiť rádio skupinu na zabezpečenie komunikácie medzi micro:bitmi.,použiť,"LO vyžaduje praktické nastavenie rádio skupiny v programe, čo je Aplikovať (CP3).",3,05-bananovy-klavir_full_lo10
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,11,"Študent vie vysvetliť, prečo sa pri odosielaní tónov používa číslo ako reprezentácia frekvencie.",vysvetliť,"LO vyžaduje vysvetlenie vzťahu medzi tónom a frekvenciou, čo je Porozumieť (CP2).",2,05-bananovy-klavir_full_lo11
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,12,"Študent vie skonštruovať program pre druhý micro:bit, ktorý odosiela číslo zodpovedajúce frekvencii tónu pri stlačení banánu.",skonštruovať,"LO vyžaduje vytvorenie programu na odosielanie údajov, čo je Aplikovať (CP3).",3,05-bananovy-klavir_full_lo12
05-bananovy-klavir_full,1,05-bananovy-klavir,0.0,445.0,13,Študent vie navrhnúť vylepšenie klavíra pridaním ďalšieho micro:bitu alebo úpravou programu na prehrávanie tónov podľa dĺžky dotyku.,navrhnúť,"LO vyžaduje tvorivé rozšírenie projektu a návrh nového riešenia, čo je Tvoriť (CP6).",6,05-bananovy-klavir_full_lo13
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,0,"Študent vie vymenovať tri základné druhy LED pásikov: jednofarebné, viacfarebné a individuálne adresovateľné.",vymenovať,"LO vyžaduje len vybavenie si a uvedenie troch typov LED pásikov, čo je čisté zapamätanie faktu.",1,01-pokrocily-led-pasiky_full_lo00
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,1,"Študent vie opísať rozdiely medzi jednofarebnými, viacfarebnými a individuálne adresovateľnými LED pásikmi.",opísať,"LO vyžaduje vysvetliť a porovnať vlastnosti jednotlivých typov pásikov, čo je porozumenie.",2,01-pokrocily-led-pasiky_full_lo01
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,2,"Študent vie vysvetliť, prečo je na jednofarebných LED pásikoch možné meniť len intenzitu svietenia všetkých LEDiek naraz.",vysvetliť,"LO vyžaduje vysvetlenie príčiny obmedzenia, čo je typické pre porozumenie.",2,01-pokrocily-led-pasiky_full_lo02
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,3,"Študent vie opísať, ako funguje individuálne adresovateľný (NeoPixel) LED pásik na úrovni komunikácie s micro:bitom.",opísať,"LO vyžaduje popísať princíp komunikácie a spracovania údajov, čo je porozumenie.",2,01-pokrocily-led-pasiky_full_lo03
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,4,Študent vie identifikovať funkciu jednotlivých káblikov na NeoPixel LED pásiku a správne ich pripojiť k micro:bitu.,identifikovať,"LO vyžaduje rozpoznať a priradiť funkcie káblikov, čo je zapamätanie a rozpoznanie faktu.",1,01-pokrocily-led-pasiky_full_lo04
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,5,"Študent vie vysvetliť, prečo je pri dlhších LED pásikoch potrebné použiť 5V napájanie namiesto 3,3V.",vysvetliť,"LO vyžaduje vysvetliť dôvod technického obmedzenia, čo je porozumenie.",2,01-pokrocily-led-pasiky_full_lo05
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,6,"Študent vie opísať, ako micro:bit posiela údaje o farbe jednotlivým LEDkám na NeoPixel pásiku.",opísať,"LO vyžaduje popísať proces odosielania údajov, čo je porozumenie.",2,01-pokrocily-led-pasiky_full_lo06
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,7,"Študent vie vysvetliť, prečo micro:bit musí vždy poslať všetky údaje pre celý LED pásik, aj keď mení len jeden piksel.",vysvetliť,"LO vyžaduje vysvetlenie technického dôvodu, čo je porozumenie.",2,01-pokrocily-led-pasiky_full_lo07
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,8,Študent vie použiť rozšírenie NeoPixel v prostredí MakeCode na programovanie LED pásika.,použiť,"LO vyžaduje praktické použitie rozšírenia v konkrétnom prostredí, čo je aplikácia.",3,01-pokrocily-led-pasiky_full_lo08
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,9,"Študent vie skonštruovať program, ktorý rozsvieti všetky LEDky na NeoPixel pásiku na červenú farbu.",skonštruovať,"LO vyžaduje vytvoriť konkrétny program podľa zadania, čo je aplikácia.",3,01-pokrocily-led-pasiky_full_lo09
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,10,"Študent vie skonštruovať program, ktorý mení farbu LED pásika na zelenú alebo modrú pri stlačení tlačidiel A alebo B.",skonštruovať,"LO vyžaduje vytvoriť program s reakciou na vstupy, čo je aplikácia.",3,01-pokrocily-led-pasiky_full_lo10
01-pokrocily-led-pasiky_full,5,01-pokrocily-led-pasiky,0.0,431.0,11,"Študent vie vysvetliť, ako nastaviť správny počet LEDiek a pripojený kolík v príkaze na inicializáciu NeoPixel pásika v MakeCode.",vysvetliť,"LO vyžaduje vysvetliť nastavenie parametrov v prostredí, čo je porozumenie.",2,01-pokrocily-led-pasiky_full_lo11
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,0,Študent vie vysvetliť princíp merania vlhkosti pôdy pomocou vodivosti medzi dvoma drôtmi.,vysvetliť,"Študent musí pochopiť a vysvetliť, ako vlhkosť ovplyvňuje vodivosť pôdy a odpor medzi drôtmi.",2,06-pokrocilyvlhkost-pody_full_lo00
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,1,Študent vie vymenovať komponenty potrebné na zostrojenie senzora vlhkosti pôdy s micro:bitom.,vymenovať,Ide o jednoduché vybavenie si zoznamu použitých komponentov z pamäte.,1,06-pokrocilyvlhkost-pody_full_lo01
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,2,Študent vie skonštruovať zapojenie na meranie vlhkosti pôdy podľa popisu v lekcii.,skonštruovať,"Študent musí prakticky zapojiť obvod podľa návodu, čo je aplikácia postupu.",3,06-pokrocilyvlhkost-pody_full_lo02
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,3,"Študent vie opísať, ako sa mení odpor pôdy v závislosti od jej vlhkosti.",opísať,"Vyžaduje sa porozumenie vzťahu medzi vlhkosťou a odporom, nie len zapamätanie faktu.",2,06-pokrocilyvlhkost-pody_full_lo03
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,4,Študent vie porovnať meranie vlhkosti pôdy s meraním salinity vody.,porovnať,Porovnanie dvoch podobných princípov vyžaduje porozumenie a schopnosť nájsť podobnosti.,2,06-pokrocilyvlhkost-pody_full_lo04
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,5,Študent vie použiť analógové čítanie na micro:bite na získanie údajov o vlhkosti pôdy.,použiť,Študent musí aplikovať konkrétnu funkciu micro:bitu na meranie vlhkosti.,3,06-pokrocilyvlhkost-pody_full_lo05
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,6,Študent vie interpretovať hodnoty analógového čítania v súvislosti s vlhkosťou pôdy.,interpretovať,"Vyžaduje sa schopnosť priradiť číselné hodnoty k reálnemu stavu pôdy, čo je porozumenie.",2,06-pokrocilyvlhkost-pody_full_lo06
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,7,"Študent vie vysvetliť, prečo je potrebné kalibrovať senzor vlhkosti pre rôzne typy pôdy a kvetináče.",vysvetliť,Študent musí pochopiť dôvody individuálnej kalibrácie a vedieť ich vysvetliť.,2,06-pokrocilyvlhkost-pody_full_lo07
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,8,Študent vie navrhnúť podmienky v programe na micro:bite na zobrazenie rôznych smajlíkov podľa vlhkosti.,navrhnúť,"Študent musí vytvoriť logiku programu podľa nameraných hodnôt, čo je tvorivá činnosť.",6,06-pokrocilyvlhkost-pody_full_lo08
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,9,Študent vie použiť premennú na uchovávanie hodnoty vlhkosti v programe pre micro:bit.,použiť,Ide o aplikáciu programátorského konceptu v konkrétnom kóde.,3,06-pokrocilyvlhkost-pody_full_lo09
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,10,Študent vie vysvetliť význam oneskorenia pri rozpúšťaní minerálov vo vode pre správne meranie vlhkosti.,vysvetliť,Vyžaduje sa pochopenie časového aspektu merania a jeho vplyvu na výsledok.,2,06-pokrocilyvlhkost-pody_full_lo10
06-pokrocilyvlhkost-pody_full,5,06-pokrocilyvlhkost-pody,0.0,443.9,11,Študent vie aplikovať podmienky na spustenie zvuku pri nízkej vlhkosti pôdy v programe.,aplikovať,Študent musí použiť podmienky v kóde na spustenie zvuku podľa stavu pôdy.,3,06-pokrocilyvlhkost-pody_full_lo11
07-pbl-7-ucitelskych-postupov_full,42,07-pbl-7-ucitelskych-postupov,0.0,202.44,0,Študent vie vymenovať 7 základných učiteľských postupov v Gold Standard PBL.,vymenovať,"LO vyžaduje zapamätanie a vybavenie konkrétnych postupov, čo je úroveň 1.",1,07-pbl-7-ucitelskych-postupov_full_lo00
07-pbl-7-ucitelskych-postupov_full,42,07-pbl-7-ucitelskych-postupov,0.0,202.44,1,Študent vie opísať úlohu učiteľa v projektovom vyučovaní podľa Gold Standard PBL.,opísať,"LO vyžaduje vysvetliť a priblížiť význam úlohy učiteľa, čo je úroveň 2.",2,07-pbl-7-ucitelskych-postupov_full_lo01
07-pbl-7-ucitelskych-postupov_full,42,07-pbl-7-ucitelskych-postupov,0.0,202.44,2,Študent vie vysvetliť význam plánovania a designovania projektu v súlade s potrebami žiakov.,vysvetliť,"LO vyžaduje porozumieť a vysvetliť význam plánovania, čo je úroveň 2.",2,07-pbl-7-ucitelskych-postupov_full_lo02
07-pbl-7-ucitelskych-postupov_full,42,07-pbl-7-ucitelskych-postupov,0.0,202.44,3,Študent vie vysvetliť dôležitosť zosúladenia projektu so vzdelávacími štandardmi.,vysvetliť,"LO vyžaduje porozumieť a vysvetliť význam zosúladenia, čo je úroveň 2.",2,07-pbl-7-ucitelskych-postupov_full_lo03
07-pbl-7-ucitelskych-postupov_full,42,07-pbl-7-ucitelskych-postupov,0.0,202.44,4,"Študent vie opísať, ako učiteľ vytvára projektovú kultúru podporujúcu spoluprácu a bádanie.",opísať,"LO vyžaduje opísať proces vytvárania kultúry, čo je úroveň 2.",2,07-pbl-7-ucitelskych-postupov_full_lo04
07-pbl-7-ucitelskych-postupov_full,42,07-pbl-7-ucitelskych-postupov,0.0,202.44,5,"Študent vie opísať, ako učiteľ manažuje aktivity a organizuje úlohy v projekte.",opísať,"LO vyžaduje opísať manažovanie aktivít, čo je úroveň 2.",2,07-pbl-7-ucitelskych-postupov_full_lo05
07-pbl-7-ucitelskych-postupov_full,42,07-pbl-7-ucitelskych-postupov,0.0,202.44,6,Študent vie vysvetliť význam scaffoldu a spôsobov podpory žiakov v projekte.,vysvetliť,"LO vyžaduje vysvetliť význam a spôsoby podpory, čo je úroveň 2.",2,07-pbl-7-ucitelskych-postupov_full_lo06
07-pbl-7-ucitelskych-postupov_full,42,07-pbl-7-ucitelskych-postupov,0.0,202.44,7,Študent vie opísať formy hodnotenia procesu učenia sa žiakov v projektovom vyučovaní.,opísať,"LO vyžaduje opísať rôzne formy hodnotenia, čo je úroveň 2.",2,07-pbl-7-ucitelskych-postupov_full_lo07
07-pbl-7-ucitelskych-postupov_full,42,07-pbl-7-ucitelskych-postupov,0.0,202.44,8,Študent vie vysvetliť úlohu učiteľa ako facilitátora v projektovom vyučovaní.,vysvetliť,"LO vyžaduje vysvetliť úlohu facilitátora, čo je úroveň 2.",2,07-pbl-7-ucitelskych-postupov_full_lo08
07-pbl-7-ucitelskych-postupov_full,42,07-pbl-7-ucitelskych-postupov,0.0,202.44,9,Študent vie použiť hodnotiacu tabuľku na posúdenie úrovne zvládnutia učiteľských postupov.,použiť,"LO vyžaduje aplikovať hodnotiacu tabuľku v praxi, čo je úroveň 3.",3,07-pbl-7-ucitelskych-postupov_full_lo09
