course_id,lecture_slug,lecture_title,annotator,lo_id,text,verb,cognitive_process
1,bananovy-klavir,Banánový klavír,a,a_bananovy_klavir_001,Študent vie opísať komponenty potrebné na zostrojenie banánového klavíra.,opísať,2
1,bananovy-klavir,Banánový klavír,a,a_bananovy_klavir_002,"Študent vie identifikovať programovateľné kolíky 0, 1 a 2 na micro:bite.",identifikovať,1
1,bananovy-klavir,Banánový klavír,a,a_bananovy_klavir_003,Študent vie uviesť funkciu kolíka GND v projekte banánového klavíra.,uviesť,1
1,bananovy-klavir,Banánový klavír,a,a_bananovy_klavir_004,Študent vie opísať princíp uzatvárania elektrického obvodu pri dotyku banánu.,opísať,2
1,bananovy-klavir,Banánový klavír,a,a_bananovy_klavir_005,"Študent vie použiť príkaz ""keď sa kolík P1 stlačí"" na rozpoznanie dotyku banánu.",použiť,3
1,bananovy-klavir,Banánový klavír,a,a_bananovy_klavir_006,"Študent vie skonštruovať program, ktorý pri stlačení kolíka prehrá tón stredné C.",skonštruovať,3
1,bananovy-klavir,Banánový klavír,a,a_bananovy_klavir_007,Študent vie použiť krokosvorkové káble na pripojenie banánov a reproduktora k micro:bitu.,použiť,3
1,bananovy-klavir,Banánový klavír,a,a_bananovy_klavir_008,"Študent vie uviesť, že micro:bity musia mať nastavenú rovnakú rádio skupinu, aby spolu komunikovali.",uviesť,1
1,bananovy-klavir,Banánový klavír,a,a_bananovy_klavir_009,"Študent vie skonštruovať program, ktorý cez rádio odošle frekvenciu tónu pri stlačení banánu.",skonštruovať,3
1,bananovy-klavir,Banánový klavír,a,a_bananovy_klavir_010,"Študent vie použiť príkaz ""rádio pri prijatí"" na prehratie prijatého tónu.",použiť,3
1,kamen-papier-noznice,"Kameň, papier, nožnice",a,a_kamen_papier_noznice_001,"Študent vie uviesť, že náhoda v hre sa simuluje generovaním čísel 1, 2 alebo 3.",uviesť,1
1,kamen-papier-noznice,"Kameň, papier, nožnice",a,a_kamen_papier_noznice_002,Študent vie použiť blok potrasenia na spustenie hry.,použiť,3
1,kamen-papier-noznice,"Kameň, papier, nožnice",a,a_kamen_papier_noznice_003,Študent vie použiť premennú na uloženie aktuálnej náhodnej hodnoty.,použiť,3
1,kamen-papier-noznice,"Kameň, papier, nožnice",a,a_kamen_papier_noznice_004,Študent vie použiť blok náhodného čísla z kategórie matematika v rozsahu od 1 do 3.,použiť,3
1,kamen-papier-noznice,"Kameň, papier, nožnice",a,a_kamen_papier_noznice_005,Študent vie použiť podmienku ak–inak na vetvenie programu podľa hodnoty premennej.,použiť,3
1,kamen-papier-noznice,"Kameň, papier, nožnice",a,a_kamen_papier_noznice_006,"Študent vie použiť blok porovnania na otestovanie, či sa hodnota premennej rovná danému číslu.",použiť,3
